"","x"
"1",5
"2",7
"3",8
"4",4
"5",13
"6",16
"7",15
"8",10
"9",47
"10",43
"11",49
"12",23
"13",31
"14",54
"15",38
"16",40
"17",21
"18",50
"19",26
"20",42
"21",51
"22",22
"23",36
"24",28
"25",48
"26",24
"27",19
"28",56
"29",59
"30",61
"31",62
"32",64
"33",68
"34",63
"35",67
"36",83
"37",85
"38",101
"39",80
"40",110
"41",76
"42",98
"43",109
"44",73
"45",82
"46",77
"47",108
"48",106
"49",100
"50",84
"51",91
"52",89
"53",87
"54",103
"55",88
"56",72
"57",86
"58",117
"59",113
"60",115
"61",116
"62",123
"63",122
"64",124
"65",130
"66",131
"67",129
"68",134
"69",132
"70",222
"71",205
"72",138
"73",213
"74",154
"75",145
"76",218
"77",210
"78",207
"79",136
"80",192
"81",184
"82",147
"83",158
"84",202
"85",176
"86",212
"87",214
"88",157
"89",194
"90",240
"91",226
"92",223
"93",239
"94",190
"95",199
"96",151
"97",177
"98",139
"99",241
"100",235
"101",160
"102",155
"103",196
"104",230
"105",238
"106",215
"107",142
"108",200
"109",181
"110",143
"111",182
"112",164
"113",233
"114",234
"115",161
"116",191
"117",189
"118",227
"119",153
"120",209
"121",232
"122",217
"123",168
"124",245
"125",244
"126",246
"127",248
"128",249
"129",250
"130",253
"131",255
"132",257
"133",259
"134",339
"135",334
"136",314
"137",282
"138",276
"139",346
"140",297
"141",277
"142",271
"143",325
"144",265
"145",324
"146",281
"147",260
"148",267
"149",328
"150",343
"151",353
"152",301
"153",306
"154",304
"155",317
"156",263
"157",288
"158",338
"159",303
"160",287
"161",330
"162",309
"163",270
"164",293
"165",312
"166",296
"167",320
"168",275
"169",322
"170",284
"171",327
"172",333
"173",261
"174",341
"175",279
"176",299
"177",335
"178",307
"179",310
"180",337
"181",326
"182",373
"183",358
"184",367
"185",369
"186",366
"187",383
"188",377
"189",380
"190",385
"191",360
"192",379
"193",371
"194",356
"195",361
"196",382
"197",357
"198",404
"199",432
"200",400
"201",438
"202",430
"203",403
"204",418
"205",415
"206",386
"207",426
"208",388
"209",425
"210",402
"211",428
"212",437
"213",390
"214",406
"215",433
"216",420
"217",444
"218",387
"219",394
"220",389
"221",401
"222",423
"223",441
"224",392
"225",422
"226",396
"227",435
"228",424
"229",440
"230",452
"231",461
"232",475
"233",463
"234",456
"235",476
"236",457
"237",459
"238",467
"239",466
"240",449
"241",472
"242",454
"243",465
"244",504
"245",494
"246",485
"247",508
"248",495
"249",522
"250",510
"251",503
"252",478
"253",516
"254",489
"255",486
"256",493
"257",487
"258",520
"259",498
"260",502
"261",509
"262",501
"263",514
"264",497
"265",477
"266",482
"267",540
"268",542
"269",523
"270",526
"271",524
"272",539
"273",534
"274",529
"275",537
"276",532
"277",560
"278",552
"279",562
"280",548
"281",545
"282",553
"283",547
"284",549
"285",546
"286",556
"287",568
"288",567
"289",565
"290",573
"291",575
"292",571
